Detail,punter,punt_distance,returner,return_distance,tackler,penalized_player,downer,blocker,recoverer,end_location,play_outcome,unprocessed
Mitch Wishnowsky punts 49 yards returned by Nsimba Webster for 15 yards (tackle by Mitch Wishnowsky),Mitch Wishnowsky,49.0,Nsimba Webster,15.0,Mitch Wishnowsky,,,,,,,yards  yards (
Dustin Colquitt punts 44 yards returned by Donovan Peoples-Jones for 4 yards (tackle by Robert Spillane),Dustin Colquitt,44.0,Donovan Peoples-Jones,4.0,Robert Spillane,,,,,,,yards  yards (
Sam Koch punts 57 yards returned by Greg Ward for 11 yards (tackle by Kristian Welch),Sam Koch,57.0,Greg Ward,11.0,Kristian Welch,,,,,,,yards  yards (
Johnny Hekker punts 47 yards fair catch by Richie James at SF-13,Johnny Hekker,47.0,Richie James,,,,,,,SF-13,,yards
Jake Bailey punts 32 yards fair catch by Diontae Spencer at DEN-9,Jake Bailey,32.0,Diontae Spencer,,,,,,,DEN-9,,yards
Bryan Anger punts 56 yards returned by Kalif Raymond for 16 yards (tackle by Dylan Cole),Bryan Anger,56.0,Kalif Raymond,16.0,Dylan Cole,,,,,,,yards  yards (
Cameron Johnston punts 49 yards returned by James Proche for 3 yards (tackle by K'Von Wallace),Cameron Johnston,49.0,James Proche,3.0,K'Von Wallace,,,,,,,yards  yards (
Jamie Gillan punts 29 yards fair catch by Ray-Ray McCloud at PIT-14,Jamie Gillan,29.0,Ray-Ray McCloud,,,,,,,PIT-14,,yards
Britton Colquitt punts 53 yards returned by Brandon Powell for 24 yards (tackle by Irv Smith),Britton Colquitt,53.0,Brandon Powell,24.0,Irv Smith,,,,,,,yards  yards (
Dustin Colquitt punts 37 yards returned by Donovan Peoples-Jones for 2 yards (tackle by Alex Highsmith),Dustin Colquitt,37.0,Donovan Peoples-Jones,2.0,Alex Highsmith,,,,,,,yards  yards (
Sam Koch punts 59 yards returned by Greg Ward for 5 yards (tackle by L.J. Fort),Sam Koch,59.0,Greg Ward,5.0,L.J. Fort,,,,,,,yards  yards (
Rigoberto Sanchez punts 43 yards returned by Alex Erickson for 5 yards (tackle by Luke Rhodes and Trey Burton),Rigoberto Sanchez,43.0,Alex Erickson,5.0,Luke Rhodes and Trey Burton,,,,,,,yards  yards (
Pat O'Donnell punts 35 yards fair catch by Pharoh Cooper at CAR-11,Pat O'Donnell,35.0,Pharoh Cooper,,,,,,,CAR-11,,yards
Braden Mann punts 40 yards touchback.. Penalty on Harvey Langi: Face Mask (15 Yards) 15 yards,Braden Mann,40.0,,,,Harvey Langi,,,,,touchback,yards ..  Face Mask (15 Yards) 15 yards
Joseph Charlton punts 49 yards muffed catch by Ted Ginn recovered by Ted Ginn at CHI-39 returned by Ted Ginn for no gain (tackle by Trenton Cannon),Joseph Charlton,49.0,Ted Ginn,0.0,Trenton Cannon,,,,,CHI-39  (,,yards muffed catch by Ted Ginn recovered by Ted Ginn
Bradley Pinion punts 30 yards out of bounds,Bradley Pinion,30.0,,,,,,,,,out of bounds,yards
Jamie Gillan punts 30 yards fair catch by Ray-Ray McCloud at PIT-12,Jamie Gillan,30.0,Ray-Ray McCloud,,,,,,,PIT-12,,yards
Cameron Johnston punts 49 yards returned by James Proche for 10 yards (tackle by Rick Lovato and Corey Clement),Cameron Johnston,49.0,James Proche,10.0,Rick Lovato and Corey Clement,,,,,,,yards  yards (
Braden Mann punts 41 yards downed by Ashtyn Davis,Braden Mann,41.0,,,,,Ashtyn Davis,,,,,yards
Sterling Hofrichter punts 43 yards fair catch by Chad Beebe at MIN-16,Sterling Hofrichter,43.0,Chad Beebe,,,,,,,MIN-16,,yards
Matt Haack punts 36 yards fair catch by Braxton Berrios at NYJ-18. Penalty on Harvey Langi: Defensive Offside (Declined),Matt Haack,36.0,Braxton Berrios,,,,,,,NYJ-18. Penalty on Harvey Langi: Defensive Offside (Declined),,yards
JK Scott punts 40 yards out of bounds,JK Scott,40.0,,,,,,,,,out of bounds,yards
Cameron Johnston punts 66 yards returned by James Proche for 11 yards (tackle by Richard Rodgers and Rodney McLeod),Cameron Johnston,66.0,James Proche,11.0,Richard Rodgers and Rodney McLeod,,,,,,,yards  yards (
Penalty on MIA: Delay of Game 5 yards (no play),,,,,,MIA,,,,,,Delay of Game 5 yards (no play)
Tress Way punts 44 yards downed by Danny Johnson. Penalty on Austin Johnson: Running Into the Kicker 5 yards (no play),Tress Way,44.0,,,,Austin Johnson,Danny Johnson.  Running Into the Kicker 5 yards (no play),,,,,yards
Matt Haack punts 29 yards fair catch by Braxton Berrios at NYJ-15 Penalty on MIA: Illegal Formation 5 yards,Matt Haack,29.0,Braxton Berrios,,,,,,,NYJ-15 Penalty on MIA: Illegal Formation 5 yards,,yards
Braden Mann punts 54 yards returned by Jakeem Grant for 30 yards (tackle by Braden Mann),Braden Mann,54.0,Jakeem Grant,30.0,Braden Mann,,,,,,,yards  yards (
Sam Koch punts 45 yards fair catch by Greg Ward at PHI-10,Sam Koch,45.0,Greg Ward,,,,,,,PHI-10,,yards
JK Scott punts 48 yards returned by Jaydon Mickens for 7 yards (tackle by Jamaal Williams),JK Scott,48.0,Jaydon Mickens,7.0,Jamaal Williams,,,,,,,yards  yards (
Jake Bailey punts 60 yards fair catch by Diontae Spencer at DEN-15,Jake Bailey,60.0,Diontae Spencer,,,,,,,DEN-15,,yards
Kevin Huber punts 53 yards returned by Nyheim Hines for 10 yards (tackle by Logan Wilson),Kevin Huber,53.0,Nyheim Hines,10.0,Logan Wilson,,,,,,,yards  yards (
Braden Mann punts 39 yards out of bounds,Braden Mann,39.0,,,,,,,,,out of bounds,yards
Johnny Hekker punts 63 yards returned by Richie James for 8 yards (tackle by Nsimba Webster),Johnny Hekker,63.0,Richie James,8.0,Nsimba Webster,,,,,,,yards  yards (
Dustin Colquitt punts 44 yards downed by James Pierre. Penalty on Alex Highsmith: Illegal Formation 5 yards,Dustin Colquitt,44.0,,,,Alex Highsmith,James Pierre.  Illegal Formation 5 yards,,,,,yards
Riley Dixon punts 24 yards downed by Madre Harper,Riley Dixon,24.0,,,,,Madre Harper,,,,,yards
Jack Fox punts 50 yards touchback.,Jack Fox,50.0,,,,,,,,,touchback,yards .
Tress Way punts 55 yards fair catch by Golden Tate at NYG-20,Tress Way,55.0,Golden Tate,,,,,,,NYG-20,,yards
Sam Koch punts 46 yards out of bounds,Sam Koch,46.0,,,,,,,,,out of bounds,yards
Jamie Gillan punts 31 yards out of bounds,Jamie Gillan,31.0,,,,,,,,,out of bounds,yards
Bryan Anger punts 52 yards returned by Kalif Raymond for 4 yards (tackle by Brennan Scarlett and Keion Crossen),Bryan Anger,52.0,Kalif Raymond,4.0,Brennan Scarlett and Keion Crossen,,,,,,,yards  yards (
Pat O'Donnell punts 39 yards downed by Sherrick McManis,Pat O'Donnell,39.0,,,,,Sherrick McManis,,,,,yards
Matt Haack punts 45 yards fair catch by Braxton Berrios at NYJ-24,Matt Haack,45.0,Braxton Berrios,,,,,,,NYJ-24,,yards
Jamie Gillan punts 59 yards returned by Ray-Ray McCloud for 16 yards (tackle by Sione Takitaki),Jamie Gillan,59.0,Ray-Ray McCloud,16.0,Sione Takitaki,,,,,,,yards  yards (
Kevin Huber punts 50 yards returned by Nyheim Hines for 7 yards (tackle by Shawn Williams),Kevin Huber,50.0,Nyheim Hines,7.0,Shawn Williams,,,,,,,yards  yards (
Braden Mann punts 48 yards returned by Jakeem Grant for 14 yards (tackle by Harvey Langi),Braden Mann,48.0,Jakeem Grant,14.0,Harvey Langi,,,,,,,yards  yards (
JK Scott punts 51 yards returned by Jaydon Mickens for 10 yards (tackle by Jamaal Williams),JK Scott,51.0,Jaydon Mickens,10.0,Jamaal Williams,,,,,,,yards  yards (
Matt Haack punts 45 yards downed by Jamal Perry,Matt Haack,45.0,,,,,Jamal Perry,,,,,yards
Bradley Pinion punts 47 yards fair catch by Darrius Shepherd at GB-24,Bradley Pinion,47.0,Darrius Shepherd,,,,,,,GB-24,,yards
Sam Martin punts 31 yards fair catch by Gunner Olszewski at NE-8,Sam Martin,31.0,Gunner Olszewski,,,,,,,NE-8,,yards
Mitch Wishnowsky punts 44 yards fair catch by Nsimba Webster at LA-32. Penalty on Ken Webster: Player Out of Bounds on Kick 5 yards,Mitch Wishnowsky,44.0,Nsimba Webster,,,,,,,LA-32. Penalty on Ken Webster: Player Out of Bounds on Kick 5 yards,,yards
Sam Koch punts 26 yards out of bounds,Sam Koch,26.0,,,,,,,,,out of bounds,yards
Braden Mann punts 52 yards returned by Jakeem Grant for 15 yards (tackle by Daniel Brown),Braden Mann,52.0,Jakeem Grant,15.0,Daniel Brown,,,,,,,yards  yards (
Dustin Colquitt punts 40 yards touchback.,Dustin Colquitt,40.0,,,,,,,,,touchback,yards .
Jake Bailey punts 53 yards downed by Adrian Phillips,Jake Bailey,53.0,,,,,Adrian Phillips,,,,,yards
Rigoberto Sanchez punts 43 yards downed by George Odum. Penalty on Tony Brown: Offensive Holding,Rigoberto Sanchez,43.0,,,,Tony Brown,George Odum.  Offensive Holding,,,,,yards
Johnny Hekker punts 44 yards fair catch by Trent Taylor at SF-13,Johnny Hekker,44.0,Trent Taylor,,,,,,,SF-13,,yards
JK Scott punts 38 yards out of bounds,JK Scott,38.0,,,,,,,,,out of bounds,yards
Sam Martin punts 46 yards. Penalty on P.J. Locke: Kick Catch Interference 15 yards,Sam Martin,46.0,,,,P.J. Locke,,,,,,yards.  Kick Catch Interference 15 yards
Mitch Wishnowsky punts 51 yards returned by Nsimba Webster for 9 yards (tackle by Dre Greenlaw),Mitch Wishnowsky,51.0,Nsimba Webster,9.0,Dre Greenlaw,,,,,,,yards  yards (
Cameron Johnston punts 43 yards returned by James Proche for 9 yards (tackle by Davion Taylor and Rick Lovato),Cameron Johnston,43.0,James Proche,9.0,Davion Taylor and Rick Lovato,,,,,,,yards  yards (
Sam Koch punts 43 yards fair catch by Greg Ward at PHI-19. Penalty on Davion Taylor: Running Into the Kicker (Declined),Sam Koch,43.0,Greg Ward,,,,,,,PHI-19. Penalty on Davion Taylor: Running Into the Kicker (Declined),,yards
Britton Colquitt punts 46 yards returned by Brandon Powell for no gain (tackle by Harrison Hand),Britton Colquitt,46.0,Brandon Powell,0.0,Harrison Hand,,,,,,,yards  (
Matt Haack punts 37 yards fair catch by Braxton Berrios at NYJ-10,Matt Haack,37.0,Braxton Berrios,,,,,,,NYJ-10,,yards
Riley Dixon punts 46 yards returned by Isaiah Wright for 2 yards (tackle by Madre Harper and Corey Ballentine),Riley Dixon,46.0,Isaiah Wright,2.0,Madre Harper and Corey Ballentine,,,,,,,yards  yards (
JK Scott punts 45 yards returned by Jaydon Mickens for 4 yards (tackle by Ty Summers),JK Scott,45.0,Jaydon Mickens,4.0,Ty Summers,,,,,,,yards  yards (
Mitch Wishnowsky punts 48 yards returned by Cooper Kupp for 5 yards (tackle by Ken Webster),Mitch Wishnowsky,48.0,Cooper Kupp,5.0,Ken Webster,,,,,,,yards  yards (
Braden Mann punts 49 yards returned by Jakeem Grant for 7 yards (tackle by Harvey Langi),Braden Mann,49.0,Jakeem Grant,7.0,Harvey Langi,,,,,,,yards  yards (
Penalty on Jacob Tuioti-Mariner: False Start 5 yards (no play),,,,,,Jacob Tuioti-Mariner,,,,,,False Start 5 yards (no play)
Sterling Hofrichter punts 25 yards downed by Jaeden Graham,Sterling Hofrichter,25.0,,,,,Jaeden Graham,,,,,yards
Bryan Anger punts 45 yards returned by Kalif Raymond for no gain (tackle by Keion Crossen),Bryan Anger,45.0,Kalif Raymond,0.0,Keion Crossen,,,,,,,yards  (
Logan Cooke punts 47 yards fair catch by Jamal Agnew at DET-36,Logan Cooke,47.0,Jamal Agnew,,,,,,,DET-36,,yards
Bradley Pinion punts 25 yards downed by Ryan Smith,Bradley Pinion,25.0,,,,,Ryan Smith,,,,,yards
Kevin Huber punts 28 yards downed by Akeem Davis-Gaither,Kevin Huber,28.0,,,,,Akeem Davis-Gaither,,,,,yards
Britton Colquitt punts 50 yards returned by Brandon Powell for 12 yards (tackle by Hardy Nickerson),Britton Colquitt,50.0,Brandon Powell,12.0,Hardy Nickerson,,,,,,,yards  yards (
Johnny Hekker punts 45 yards returned by Richie James for 12 yards (tackle by Troy Reeder),Johnny Hekker,45.0,Richie James,12.0,Troy Reeder,,,,,,,yards  yards (
Braden Mann punts 35 yards fair catch by Jakeem Grant at MIA-22,Braden Mann,35.0,Jakeem Grant,,,,,,,MIA-22,,yards
JK Scott punts 48 yards fair catch by Jaydon Mickens at TB-18,JK Scott,48.0,Jaydon Mickens,,,,,,,TB-18,,yards
Matt Haack punts 46 yards fair catch by Braxton Berrios at NYJ-25,Matt Haack,46.0,Braxton Berrios,,,,,,,NYJ-25,,yards
Mitch Wishnowsky punts 43 yards downed by Tarvarius Moore,Mitch Wishnowsky,43.0,,,,,Tarvarius Moore,,,,,yards
Bradley Pinion punts 44 yards fair catch by Darrius Shepherd at GB-30,Bradley Pinion,44.0,Darrius Shepherd,,,,,,,GB-30,,yards
Johnny Hekker punts 46 yards downed by Nsimba Webster,Johnny Hekker,46.0,,,,,Nsimba Webster,,,,,yards
JK Scott punts 55 yards returned by Jaydon Mickens for 9 yards (tackle by Oren Burks),JK Scott,55.0,Jaydon Mickens,9.0,Oren Burks,,,,,,,yards  yards (
Dustin Colquitt punts 44 yards fair catch by Donovan Peoples-Jones at CLE-12,Dustin Colquitt,44.0,Donovan Peoples-Jones,,,,,,,CLE-12,,yards
Jamie Gillan punts 50 yards returned by Ray-Ray McCloud for 17 yards (tackle by M.J. Stewart) Penalty on CLE: Illegal Formation 5 yards,Jamie Gillan,50.0,Ray-Ray McCloud,17.0,M.J. Stewart,CLE,,,,,,yards  yards (  Illegal Formation 5 yards
Pat O'Donnell punts 49 yards returned by Pharoh Cooper for 9 yards (tackle by Barkevious Mingo and Demetrius Harris),Pat O'Donnell,49.0,Pharoh Cooper,9.0,Barkevious Mingo and Demetrius Harris,,,,,,,yards  yards (
Jack Fox punts 40 yards touchback.,Jack Fox,40.0,,,,,,,,,touchback,yards .
Pat O'Donnell punts 54 yards touchback.,Pat O'Donnell,54.0,,,,,,,,,touchback,yards .
Sam Koch punts 49 yards returned by Greg Ward for 4 yards (tackle by Justice Hill). Greg Ward fumbles ball out of bounds at PHI-29 (forced by Justice Hill),Sam Koch,49.0,Greg Ward,4.0,Justice Hill,,,,,PHI-29 (forced by Justice Hill),out of bounds,yards  yards (. Greg Ward fumbles ball
Brett Kern punts 55 yards returned by Andre Roberts for -1 yards (tackle by Christopher Milton),Brett Kern,55.0,Andre Roberts,-1.0,Christopher Milton,,,,,,,yards  yards (
Corey Bojorquez punts 57 yards returned by Kalif Raymond for 40 yards (tackle by Corey Bojorquez),Corey Bojorquez,57.0,Kalif Raymond,40.0,Corey Bojorquez,,,,,,,yards  yards (
Penalty on TEN: Delay of Game 5 yards (no play),,,,,,TEN,,,,,,Delay of Game 5 yards (no play)
Brett Kern punts 32 yards fair catch by Andre Roberts at BUF-9,Brett Kern,32.0,Andre Roberts,,,,,,,BUF-9,,yards
Corey Bojorquez punts 71 yards returned by Kalif Raymond for no gain (tackle by Tyler Matakevich). Penalty on Tye Smith: Offensive Holding 9 yards,Corey Bojorquez,71.0,Kalif Raymond,0.0,Tyler Matakevich,Tye Smith,,,,,,yards  (.  Offensive Holding 9 yards
Brett Kern punts 41 yards downed by Christopher Milton,Brett Kern,41.0,,,,,Christopher Milton,,,,,yards
Ty Long punts 50 yards returned by Marquez Callaway for 19 yards (tackle by Emeke Egbule),Ty Long,50.0,Marquez Callaway,19.0,Emeke Egbule,,,,,,,yards  yards (
Thomas Morstead punts 41 yards touchback.,Thomas Morstead,41.0,,,,,,,,,touchback,yards .
Thomas Morstead punts 46 yards fair catch by K.J. Hill at LAC-17,Thomas Morstead,46.0,K.J. Hill,,,,,,,LAC-17,,yards
Ty Long punts 57 yards returned by Marquez Callaway for 15 yards (tackle by Justin Jackson and Brandon Facyson),Ty Long,57.0,Marquez Callaway,15.0,Justin Jackson and Brandon Facyson,,,,,,,yards  yards (
Ty Long punts 58 yards returned by Marquez Callaway for 18 yards (tackle by Gabe Nabers). Penalty on J.T. Gray: Offensive Holding (Declined) . Penalty on Dwayne Washington: Roughing the Kicker 15 yards (no play),Ty Long,58.0,Marquez Callaway,18.0,Gabe Nabers,J.T. Gray,,,,,,yards  yards (.  Offensive Holding (Declined) . Penalty on Dwayne Washington: Roughing the Kicker 15 yards (no play)
Thomas Morstead punts 46 yards fair catch by K.J. Hill at LAC-20,Thomas Morstead,46.0,K.J. Hill,,,,,,,LAC-20,,yards
Ty Long punts 57 yards returned by Marquez Callaway for 9 yards (tackle by Joshua Kelley). Penalty on J.T. Gray: Offensive Holding 10 yards,Ty Long,57.0,Marquez Callaway,9.0,Joshua Kelley,J.T. Gray,,,,,,yards  yards (.  Offensive Holding 10 yards
Thomas Morstead punts 50 yards returned by K.J. Hill for 9 yards (tackle by Bennie Fowler),Thomas Morstead,50.0,K.J. Hill,9.0,Bennie Fowler,,,,,,,yards  yards (
Ty Long punts 49 yards returned by Marquez Callaway for 14 yards (tackle by Nick Vigil),Ty Long,49.0,Marquez Callaway,14.0,Nick Vigil,,,,,,,yards  yards (
Thomas Morstead punts 48 yards fair catch by K.J. Hill at LAC-11,Thomas Morstead,48.0,K.J. Hill,,,,,,,LAC-11,,yards
Ty Long punts 48 yards returned by Marquez Callaway for 6 yards (tackle by Uchenna Nwosu). Penalty on J.T. Gray: Offensive Holding 10 yards,Ty Long,48.0,Marquez Callaway,6.0,Uchenna Nwosu,J.T. Gray,,,,,,yards  yards (.  Offensive Holding 10 yards
Ty Long punts 37 yards fair catch by Marquez Callaway at NO-11,Ty Long,37.0,Marquez Callaway,,,,,,,NO-11,,yards
Ty Long punts 41 yards returned by Marquez Callaway for 6 yards (tackle by Brandon Facyson and Justin Jackson),Ty Long,41.0,Marquez Callaway,6.0,Brandon Facyson and Justin Jackson,,,,,,,yards  yards (
Thomas Morstead punts 50 yards fair catch by K.J. Hill at LAC-22,Thomas Morstead,50.0,K.J. Hill,,,,,,,LAC-22,,yards
Mitch Wishnowsky punts 43 yards returned by Jakeem Grant for 4 yards (tackle by Ross Dwelley). Penalty on Brandon Jones: Illegal Block Above the Waist 10 yards,Mitch Wishnowsky,43.0,Jakeem Grant,4.0,Ross Dwelley,Brandon Jones,,,,,,yards  yards (.  Illegal Block Above the Waist 10 yards
Braden Mann punts 54 yards returned by Christian Kirk for 5 yards (tackle by Matthias Farley),Braden Mann,54.0,Christian Kirk,5.0,Matthias Farley,,,,,,,yards  yards (
Tress Way punts 47 yards fair catch by Cooper Kupp at LA-24,Tress Way,47.0,Cooper Kupp,,,,,,,LA-24,,yards
Cameron Johnston punts 51 yards returned by Diontae Johnson for 6 yards (tackle by Rick Lovato and Alex Singleton),Cameron Johnston,51.0,Diontae Johnson,6.0,Rick Lovato and Alex Singleton,,,,,,,yards  yards (
Logan Cooke punts 52 yards returned by DeAndre Carter for 9 yards (tackle by Dare Ogunbowale and Andrew Wingard),Logan Cooke,52.0,DeAndre Carter,9.0,Dare Ogunbowale and Andrew Wingard,,,,,,,yards  yards (
Kevin Huber punts 57 yards touchback.,Kevin Huber,57.0,,,,,,,,,touchback,yards .
Joseph Charlton punts 40 yards fair catch by Brandon Powell at ATL-8,Joseph Charlton,40.0,Brandon Powell,,,,,,,ATL-8,,yards
Andy Lee punts 51 yards downed by Trent Sherfield,Andy Lee,51.0,,,,,Trent Sherfield,,,,,yards
Tommy Townsend punts 44 yards fair catch by Hunter Renfrow at LV-10. Penalty on Hunter Renfrow: Delay of Game 5 yards,Tommy Townsend,44.0,Hunter Renfrow,,,,,,,LV-10. Penalty on Hunter Renfrow: Delay of Game 5 yards,,yards
Bryan Anger punts 33 yards out of bounds,Bryan Anger,33.0,,,,,,,,,out of bounds,yards
Braden Mann punts 54 yards downed by Javelin Guidry,Braden Mann,54.0,,,,,Javelin Guidry,,,,,yards
Dustin Colquitt punts 39 yards fair catch by Greg Ward at PHI-14,Dustin Colquitt,39.0,Greg Ward,,,,,,,PHI-14,,yards
Cameron Johnston punts 49 yards returned by Diontae Johnson for 6 yards (tackle by Shaun Bradley and Rick Lovato),Cameron Johnston,49.0,Diontae Johnson,6.0,Shaun Bradley and Rick Lovato,,,,,,,yards  yards (
Logan Cooke punts 43 yards downed by Daniel Thomas,Logan Cooke,43.0,,,,,Daniel Thomas,,,,,yards
Michael Dickson punts 35 yards downed by Linden Stephens,Michael Dickson,35.0,,,,,Linden Stephens,,,,,yards
Braden Mann punts 42 yards returned by Christian Kirk for 3 yards (tackle by Matthias Farley),Braden Mann,42.0,Christian Kirk,3.0,Matthias Farley,,,,,,,yards  yards (
Chris Jones punts 48 yards fair catch by Golden Tate at NYG-25,Chris Jones,48.0,Golden Tate,,,,,,,NYG-25,,yards
Andy Lee punts 36 yards fair catch by Braxton Berrios at NYJ-8,Andy Lee,36.0,Braxton Berrios,,,,,,,NYJ-8,,yards
Penalty on Ross Dwelley: False Start 5 yards (no play),,,,,,Ross Dwelley,,,,,,False Start 5 yards (no play)
Mitch Wishnowsky punts 58 yards muffed catch by Jakeem Grant recovered by Jakeem Grant at MIA-5 returned by Jakeem Grant for no gain (tackle by Ken Webster),Mitch Wishnowsky,58.0,Jakeem Grant,0.0,Ken Webster,,,,,MIA-5  (,,yards muffed catch by Jakeem Grant recovered by Jakeem Grant
Sterling Hofrichter punts 37 yards downed by Mykal Walker,Sterling Hofrichter,37.0,,,,,Mykal Walker,,,,,yards
Matt Haack punts 53 yards returned by Trent Taylor for 17 yards (tackle by Jerome Baker),Matt Haack,53.0,Trent Taylor,17.0,Jerome Baker,,,,,,,yards  yards (
Tress Way punts 41 yards fair catch by Cooper Kupp at LA-17,Tress Way,41.0,Cooper Kupp,,,,,,,LA-17,,yards
Michael Dickson punts 46 yards returned by Chad Beebe for no gain (tackle by Ugo Amadi),Michael Dickson,46.0,Chad Beebe,0.0,Ugo Amadi,,,,,,,yards  (
Britton Colquitt punts 39 yards downed by Chad Beebe,Britton Colquitt,39.0,,,,,Chad Beebe,,,,,yards
Michael Dickson punts 60 yards muffed catch by Chad Beebe,Michael Dickson,60.0,,,,,,,,,,yards muffed catch by Chad Beebe
Sterling Hofrichter punts 50 yards returned by Pharoh Cooper for -3 yards (tackle by Keith Smith and Tyler Hall),Sterling Hofrichter,50.0,Pharoh Cooper,-3.0,Keith Smith and Tyler Hall,,,,,,,yards  yards (
